id,last,first,pos,posgrp,color
5929,Archibald,Josh,RW,F,#ffcc33
4775,Bonino,Nick,C,F,#ffcc33
3490,Crosby,Sidney,C,F,#ffcc33
257,Cullen,Matt,C,F,#ffcc33
3819,Fehr,Eric,RW,F,#ffcc33
11327,Guentzel,Jake,C,F,#ffcc33
5038,Hagelin,Carl,LW,F,#ffcc33
4523,Hornqvist,Patric,RW,F,#ffcc33
4008,Kessel,Phil,RW,F,#ffcc33
5907,Kuhnhackl,Tom,RW,F,#ffcc33
898,Kunitz,Chris,LW,F,#ffcc33
3652,Malkin,Evgeni,C,F,#ffcc33
11710,Rowney,Carter,RW,F,#ffcc33
5500,Rust,Bryan,RW,F,#ffcc33
4731,Sestito,Tom,LW,F,#ffcc33
5892,Sheary,Conor,LW,F,#ffcc33
5732,Simon,Dominik,C,F,#ffcc33
5492,Wilson,Scott,C,F,#ffcc33
4905,Cole,Ian,D,D,#040707
701,Daley,Trevor,D,D,#040707
5310,Dumoulin,Brian,D,D,#040707
4953,Gaunce,Cameron,D,D,#040707
203,Hainsey,Ron,D,D,#040707
4030,Letang,Kris,D,D,#040707
5259,Maatta,Olli,D,D,#040707
5181,Oleksy,Steve,D,D,#040707
5209,Ruhwedel,Chad,D,D,#040707
5118,Schultz,Justin,D,D,#040707
3665,Streit,Mark,D,D,#040707
5315,Warsofsky,David,D,D,#040707
5894,Murray,Matthew,G,G,#377EB8
